dataset,guesser_label,eval_label,n,accuracy
common,GPT-5-mini,Gemini-3-flash,107,0.34579439252336447
common,GPT-5-mini,GPT-5,107,0.35514018691588783
common,GPT-5-mini,GPT-5-mini,107,0.3644859813084112
common,GPT-5-mini,Qwen3-30B,107,0.22429906542056074
common,GPT-5-mini,Qwen3-4B,107,0.17757009345794392
common,Qwen3-4B,Gemini-3-flash,111,0.23423423423423423
common,Qwen3-4B,GPT-5,111,0.25225225225225223
common,Qwen3-4B,GPT-5-mini,111,0.22522522522522523
common,Qwen3-4B,Qwen3-30B,111,0.13513513513513514
common,Qwen3-4B,Qwen3-4B,111,0.11711711711711711
thing,GPT-5-mini,Gemini-3-flash,178,0.28651685393258425
thing,GPT-5-mini,GPT-5,140,0.3142857142857143
thing,GPT-5-mini,GPT-5-mini,178,0.30337078651685395
thing,GPT-5-mini,Qwen3-30B,178,0.21910112359550563
thing,GPT-5-mini,Qwen3-4B,178,0.20224719101123595
thing,Qwen3-4B,Gemini-3-flash,195,0.1641025641025641
thing,Qwen3-4B,GPT-5,195,0.15897435897435896
thing,Qwen3-4B,GPT-5-mini,195,0.14871794871794872
thing,Qwen3-4B,Qwen3-30B,195,0.11794871794871795
thing,Qwen3-4B,Qwen3-4B,195,0.10256410256410256
